Tip,Paylaþým
Pozitif,allahým ülkemizde yorum yapan kiþilere bakýn demet akalýn murat övüc gerçekten ikisinin yorumuna kaldýk 
Pozitif,kadar vahþetin sapýklýðýn cinayetin iþlendiði bir zaman kadap pislik insanýn yaþadýðý bir dünyada yaþýyoruz artýk erkeklerin kadýn olma isteði kadýnlarýn erkek çocuk hayvan tecavüzleri ben hayata nefes alamýyorum artýk iðreniyorum sizlerden 
Negatif,ahlak namus deyince sadece kadýndan konuþan herkes ahlaksýz namussuzdur frida kahlo 
Negatif,nsanlarý yere göðe sýðdýramýyorsunuz sonra linç ediyorsunuz adam baþtan beri kadýnlara tiktak orospu yanýk 
Negatif,etiketi beni güldüren etiket oldu bugün orospu yanmýþsýn sen yanýk tiktakçý tik tak frýldak komik deðil mi artýk peki takip etmeyi unutmayýn murat para kazansýn 
Negatif,evet öylesin sen aðzý pisleyen götü konuþan birisin ölen bir canýn ardýndan þekilde konuþmak 
Pozitif,mevcut düzeni anlatan iyi karikatür 
Pozitif,bak bak kadýnlara hakaret et yok yanýk yok orta parmak küfür kýyamet sonrada bana hakaret et hepinizin gerçek yüzü 
Negatif,yazýklar olsun sana seni takip edenlere 
Pozitif,çaðrý filminde kadýnýn haklarý iyi dinleyin 
Pozitif,iyisini düþünemiyorum 
Pozitif,sadece küfür eden birini ahlaksýz bir þekilde konuþan birini ün sahibi yapanlar takip edenler utansýn 
Pozitif,insanlarý makam getiren bir takipçi kitlesi var 
Pozitif,yalnýz deðilsin 
Pozitif,ahlak namus deyince sadece kadýndan konuþan herkes ahlaksýz namussuzdur frida kahlo 
Negatif,dilimi tuttum boþanmak mahkemeye gtim gün sonra hale geldim neyi savunuyorsun sen terbiyesiz 
Negatif,önce nesin necisin ona bi karar ver erkek misin kadýn hayýr hayýr bence 
Pozitif,kadýnýn yeri erkeðinin bir adým gerisi deðil direkt yaný baþýdýr 
Negatif,þaklaban murat öðünç kadýnlarýn erkeklerin bir adým arkasýnda durmasý gerektiðini söylemiþ 
Negatif,þimdi hangi tarafý savunuyor ulan dönek sana mi kaldý kadýn be erkeði savunmak sen senin zihniyetler kahrolsun 
Pozitif,katlanamiyorum bir ifade etmiyor yerimizi deðil haddini bilecek 
Negatif,hiçbir vasfý sanatý olmayan þahýslarýn egolarýný okþar triplere sokarsanýz köpek havlarlar 
Pozitif,kadýn olmaya çalýþýpta kadýn düþmaný olman ayrý bir ironi 
Pozitif,tweet atan þunu yapsa sorun çözülür arkadaþlar hadi bakalým 
Negatif,yavrularda çenesini tutmadý yerini çizgisini bilmedi erkeðinin bir adým gerisinde durmadý sayýn çöp 
Pozitif,kadýnýn yeri erkeðinin bir adým gerisi deðil direkt yaný baþýdýr 
Pozitif,þimdi kalkýp derki kadar yardým ettim duyulmadý 
Pozitif,ülkede kadar pislik olursan kadar fenomen oluyorsun 
Pozitif,yoldaþlarýma sizden ricam bunu imzalayýn yayýn lütfen istanbul sozlesmesi yasatir 
Negatif,adam ünlü amk 
Pozitif,bak kýzý evinin önünde tanýmadýðý bir kaçak mahkum kalbinden býçaklayarak öldürdü sesini çýkarmaya fýrsatý olamadý 
Pozitif,yazýk yazýk allah sizin gibileri ýslah etsin inþlah 
Negatif,çöp herif gerçi herif mi belli deðil 
Negatif,sayýn çöp bidonu konuþtu gerçi sende haklýsýn sorun sende deðil seni takip eden milyonluk kitle sürekli yaptýðý yardýmlarý anlatýp sýyrýlma çabasýnda olan tam bir þiþirilmiþ balonsun 
Negatif,tür insanlarý fenomen yaptýnýz sosyal medyada milyonlarca kiþi bunlarý takýp ediyor yaptýklarý þeyler gerçekten utanç verici üzülerek söylüyorum gerçekten türkiye sözde okul okumuþ üniversiteyi bitirmiþ kiþiler beyinleri yýkanmýþ cahildirler 
Pozitif,kadýnlar türkiye ayakta þevval sam kalben aralarýnda 
Pozitif,pamuk balyalarýnýn arasýna gizlenen kumaþ gümrüðe takýldý 
Pozitif,chloe loughnan ýn sörf macerasý olaylý bitti yunanistan 
Pozitif,birilerine küfür ederek para kazanan bununla gurur duyan bir insandan farklý bir görüþ beklemek saçmalýktý zaten 
Pozitif,demkki neiþ bazýlarýna gerektiðinden fazla yüz vermiyeceksin 
Pozitif,sahip olmak istedigi elbise giyip feminen makyajlar yaparak bürünmeye çalýþtýðý bedene yaptigi saygisizlik kiskancliktan sanirim cinsiyet ameliyatý olmuyor olanlara doðuþtan kadýn olanlara bok atmaktan geri kalmiyor 
Negatif,cehennem zebanisi takýlýp dilinden lah peygamber eksik etmez ettiði yardýmlarý insanlarýn gözüne sokar kýsacasý 
Pozitif,þimdi bir murat övüç videosuna denk geldim gelmez olaydým agam sen bizimle eðleni misin agam sen yaþýyorsun 
Negatif,adamý ünlü etti amk býrakýn ekmek arasý ketçap yemeye devam etseymiþ 
Pozitif,linç yiyormuþ bizde durum budur 
Pozitif,time bunu görüpte yaymayanlarý vicdanlarýyla baþ baþa býrakýyorum sheytanovi 
Negatif,kadýn kýyafetleri giyip kadýn davranacaksýn kadýnlara dil uzatacak sýn hayýrdýr sen ayaksýn ibnelik bir 
Negatif,sadece ölen deðil üstelik vahþice katledilen bir kadýnýn arkasýndan þekilde konuþacak kadar insanlýktan uzak yaratýklarsýnýz sadece yaþayana deðil ölene saygýnýz yok býktýk artýk sizden sizin gibilerden susamam sözünbittiðiyer deyiz 
Pozitif,kadar boþ konusuyosun 
Pozitif,bak gene yaptýðý þeyi bir konuþma arasýna sýkýþtýrdý hoþuna gidiyor yaptýðý þeylerle böbürlenmek senin baþa 
Pozitif,yok ben beceremedim hayatý birine devretmek istiyorum sahibinden satýlýk devren hayat 
Pozitif,urunu koymusuz oraya satiyoruz surekli satilik mi yorumu geliyo saka misiniz sadece soru 
Pozitif,benim hesapta satýlýk 
Pozitif,günün vi tri ilaný haramýzýn satýþa sunduðu atlarýn kazançlarý bellidir 
Negatif,satýlýk hainler 
Pozitif,kalbim satýlýk deðil kiralýk hepinizinki 
Pozitif,reise yakýn saf satýlýk 
Negatif,taklitci imansýzlar sizin haram kazanýp yiyenler yüzünden islamýn cektigi iman sahibiysen yaptýgýn cevabýný bunun kendiniz verinde görelim muhtemelen kiralýk satýlýk aþagýlýklardansýnýz tiyatrocular sizi 
Negatif,nþallah kýsa zamanda geberir inþlah kýsa zamanda sende geberirsin satýlýk pisi pisi 
Pozitif,kocaeli milyona icradan satýlýk fabrika 
Negatif,þeytanýn yakýný sizlersiniz ananýzý bacýnýzý yahudilere satýp siktiriyorsunuz satýlýk insanlar þeytandan beterdir 
Pozitif,neyse satilik metacritic gunlugunuze aglamaya devam 
Negatif,artýk suriyelileri benimsettiler amk yakýnda nu vatan onlarýn derler bunlsrdan beklenir satýlýk þerefsizler 
Negatif,ortadoðudaki hristiyan musevi müslüman kadýnlar hariç dünyadaki bütün kadýnlar satýlýk kiralýk sen manyakmýsýn 
Pozitif,sen önce devlet büyüðüne saygý göstermeyi öðreneceksin devletini savunan herkes satýlýk size göre 
Pozitif,satilik kardesim takas olur 
Pozitif,satýlýk degil 
Pozitif,sahibinden km vicdan ihtiyaç fazlasýndan satýlýk 
Pozitif,hangisi satýlýk abisi 
Negatif,erdoðan yanlýþ bulan herkes dönemlerde yapýlan saçmalýklarý yanlýþlarý savunuyor demek deðildir önce bi adam ol saygý göresin ben zamankilere karþý çýkýyordum zamankilere karþý çýkýyorum nsaný savunurum ben kiþileri deðil senin satýlýk deðilim 
Pozitif,bir gazeteci olarak deðil bir kadýn olarak sözleri söyleyen herkesten nefret etmen gerekirken ülkede gün onlarca kadýn çocuk taciz tecavüze uðrarken öldürülürken buna olanlarý baþtacý yapmanýz kaleminizin satýlýk olduðu anlamýna gelir katilin partisi olmaz 
Negatif,alayý satýlýk bunlarýn ülkenin çýkarlarýný kuruþa satanlarýn iki elim yakasýnda olsun 
Negatif,cengiz bey dönek satýlýk iki aþþaðýlýk ahmakla deðerli vaktini harcamýþdýr aðzýnýza saðlýk zahmet olmuþ 
Negatif,çimizdeki satýlýk kalemþörler 
Negatif,smi müsemma olan hamza tekin ayasofyanin cami olmasýna güzel bir sey olmadý diyerek sataþan satýlýk bir ite hdini bildiriyor 
Negatif,satýlýk dönek varmý abi eþ 
Pozitif,tavrýnýz olsun tarzýnýz olsun hedefiniz olsun çizginiz olsun prensipleriniz olsun farkýnýz olsun sýnýrlarýnýz olsun 
Negatif,fetoya af isteyen fetocunun ta kendisidir olursa olsun adamýn iyi araþtýrýlmasý lazým ah gel artýk dalga operasyonlarý gelde köküne kibrit suyu çakalým adii satýlýk aþaðlýk kahpelerin 
Pozitif,görüntüler bana davos one muni te þovunu aklýma getirdi satýlýk dalkavuklarýn þovu önceden bildikleri ellerinde erdoðaný öven yazýlarý ttuklarý 
Negatif,kendileri söyleyemiyor atadýklarýna satýlýk kiralýk kalemlerine trollerine söyletip nabýz tutuyorlar fetö ye af gündem 
Pozitif,doðu türkistan ýn izzetli fetli kadýnlarý maruz kaldýklarý zulmü sürgünü iþkenceyi tecavüzü anlatýyor 
Negatif,slam kul hakký der deðil mi köpek havlamakla itham tiðin ben tanýmadýðý insanlara kiralýk satýlýk diyerek kul hakký yiyen bir geri zekalýyý eleþtirdim sen ayný boku yedin afiyet olsun iþine gelmediði ablayý anlamadýn 
Negatif,kaypak satýlýk þerefsiz 
Negatif,satýlýk kalem mi 
Negatif,satilik köþe yazarý baþ yazar kalem fiyatlarý açýklandý sen ondan haber ver 
Negatif,mehmet ayan ciddiye almak bana komik geliyor kendisi satýlýk kalemdir abilerinin hoþuna gidecekse onu yazar yalakadýr 
Negatif,kendin satýlýk sanma bizi 
Pozitif,satýlýk olmayan insan yoktur yeterli olmayan fiyat teklifi vardýr bir tez ortaya koymuþtum lisenin baþýnda sene geçti fikrim deðiþmedi konuda bugün yakýn akrabalarýmda bana karþý ayný tutuma þahit oldum nsanýn özü kötüdür 
Pozitif,atmaca ultraslanuni kuranda yazýlanlara emin oluyosun sözleri allah peygambere vahiy yolu iletiyor peygamber hafýzlara söylüyor bunu hafýzlar sonrasýnda kitap haline getiriyor þimdi durumda hadislerin farký var peygamberin dediklerini yazan ezberleyen yok 
Pozitif,aman allah ým þimdi carsamba 
Pozitif,allah melekler ilim sahipleri ondan baþka ilah olmadýðýna adeletle hitlik tiler ondan baþka ilah yoktur 
Pozitif,benim baþýma öyle bir gelmiþti neyse yoldan bir amca fark edip arabayla beni evime býrakmýþtý allah razý olsun vla 
Pozitif,allah resulu müjdesi lah ibadet edilecek günler içinde zilhicce nin ilk on gününden sevimli günler yoktur 
Pozitif,insanlarýn takibini umursamam imi takip eden allah varken 
Pozitif,maþallah lah sevdiklerine baðýþlasýn güzel aile 
Pozitif,kaçar hocam sen varsan bizde tetikteyizdir allah razý olsun 
Negatif,sizin sizi destekleyenlerin size ses çýkarmayanlarýn allah bin türlü belasýný versin hepinizin caný cehneme 
Pozitif,tekgul allah ayetinde þöyle demiþ yerdeki sürünenle gökteki uçan bütün canlýlar benim eþtir ayrýmcýlýðý insanlar yapýyoruz üstün canlýlarmýþýz hadi ordan onlarla aramýzdaki tek fark bizim kafamýz þeytanlýða çalýþýyor kapiþ 
Pozitif,yeryüzünde gökte allah aciz býrakamazsýnýz lah tan baþka bir dost yardýmcý bulamazsýnýz 
Negatif,peacerr lah belanýzý versin lanetli sözler kara leke olarak alnýnýza vicdanýnýza yapýþsýn doðum sancýsý çeken kadýnlar kadar acýlar çekmeden geberemeyin masumlara attýðýnýz iftaralar içinde bogulacaksiniz 
Pozitif,allah rýzasý olmayan eriyip çürümeðe mahkumdur 
Pozitif,muhakkak lah adaleti iyiliði akrabaya yardým etmeyi emreder çirkin iþleri fenalýk azgýnlýðý yasaklar 
Pozitif,allah iyilikten doðruluktan ayýrmasýn 
Pozitif,tamam sebep ecel sahip allah doktor sebep þafi lah 
Pozitif,allahýn verdiði caný lah alýr baþkasýnýn yaþam hakkýný kimse alamaz þerefsiz adam bence idam edilmeli 
Pozitif,oy sayilari aciklandiktan sonra allah kitap askina mutlu olun sevinin abartin biraz 
Pozitif,vallahi kendileri boþa kürek sladýklarýný iyi biliyorlar kinleri aðýzlarýndan taþar kalblerindekini allah bilir kasýrga olsalar yazar daðdan sadece toz alýrlar 
Pozitif,ayasofya yý yeniden cami yapan lider fatih in emanetine sahip çýkan baþkomutan allah senden razý olsun reis 
Pozitif,ayný þeyi bende düþündüm allah fetsinxksjxajxjajxjajxjajzjsjsjanzznz 
Pozitif,allah korusun aya alska amini nin baþýna bir iþ gelirse un isim fotoðrafýný paylaþmak suretiyle kendisini 
Pozitif,kadýnlar sana allah tarafýndan gönderilmiþ hediyeler deðildir kadýnlar dünyada seninle birlikte var 
Pozitif,aslinda cok kolay degil mi kisasa kisas allah diyorki kisasta sizin icin hayat vardir 
Pozitif,muhteþem bir ekip muhteþem bir güne yakýþýr organizasyon yapan vesile olan düþünen varsa allah razý olsun tabi sizlerin þimdiden aðzýna saðlýk abi 
Pozitif,cumhurbaþkanýmýzýn yakýn korumasý koruma müdürü muhsin köse nin vefat eden annesi fatma köse ye lah tan rahmet sayýn 
Pozitif,hi efendi mi mehmede kulluk yapan le lah kulluk yapan bi olur 
Pozitif,abd þiddetindeki depremde göçük altýnda kalarak hayatýný kaybeden çaycý hüseyin lah tan rahmet diliyorum 
Pozitif,allah seni benim sana azmam yaratmýþ olabilir mi sadece soruyorum 
Negatif,allah kahretsin 
Pozitif,insanlar þunu ayýrt edemiyor kanal olan sifa aktarýyorum diyen ilahi deðil bakýyor cümlelere içinde mesaj içeren þeyler var aa evet temiz diyor deðil iþte kardeþim þeytan lah kandýrmayý sever 
Negatif,nasipetme yarýn bi gün intihar ederse allah belanýzý versin kýzýn üstüne kadar gidilir mi dersiniz 
Negatif,bütün kýþ pandemi boyunca netflix izleyen hamdullah isimli arkadaþým eþini boþayýp çocuðunu geride býrakýp amsterdam john evlendi üzgünüm ilk ay bedava baþladý lah seni kahretsin neksfiliz 
Pozitif,allah ým herkesin ömrü merhameti kadar olsun olur lah ým 
Pozitif,insanlarýn dudaklarý þiþebilir 
Pozitif,ateþ olsalar cürðmleei kadar yer yakarlar lah doðrunun yanýndadýr 
Pozitif,erkekler bize allah tarafýndan gönderilen belalardýr desem oluyor 
Pozitif,kadýna çocuða yetime güçsüze kadar þiddte görmemezlikten gelenler unutmayýn var allah var 
Pozitif,allah fetsin bugün doðum günü ttsi yapýlan yarýþmacýnýn fanlarýna üzüldüm gündeme girebilmek baþka fandomlardan 
Negatif,allah belaný versin senin firmanýn gaziantep güvenevler mahlesi sakinlerini giden elektrik kesintileri yüzünden günlerdir rezil ettiniz rezil enerjisa 
Pozitif,sayýn baþkaným takým þampiyon oldu allah sizlerden razi olsun bazi þer odaklarý gene zamanki yine ortaya çýkýp baþarýlý bi baskan olan hüseyin üneþ üzerinden operasyona baþladýlar bunlara firsat vermeyin 
Pozitif,yanýmýzda olmayýp du larýmýzda yüreðimizde olanlar var allah ým tez zamanda kavuþtur bizi sana emanetler lakin 
Pozitif,stanbul hukuk fakültesi nden hocamýz prof dr lhan özay ýn vefatýný üzülerek öðrendim kýymetli hocamýza allah tan rahmet 
Pozitif,abd þiddetinde deprem olmuþ ýyi olmuþ deyip sevinenler lah ýn sopasi yok diyenlerde beyin ariyorumdur 
Negatif,sevmeyi beceriyorsunuz insan olmayý allah belanýzý versin 
Pozitif,zalimler yaþasýn cehennem abd yansýn inþlah mazlumun ahý srail koku kurusun inþallah hayýrlý huzurlu akþamlar þahin kardeþim lah emanet olun inþallah yeni güne bismlah 
Pozitif,silsilede tek doðru cumle hayat veriyorsunuz olmuþ tam deðil kimse hayat vermez vesile oluruz hayatý allah verir alýr 
Pozitif,dob kadin erkek ayri tasinmali kadin erkek tikis tikis otobus ozellikle dolmuslarda kadinlarimizi lah korusun 
Negatif,allah aþkýna sabahtan beri su çirkin soykayý görmekten fenalýk geldi dengesiz hepten kafayý yemiþ gündeme gelebilmek yapmayacaðý yok bunun edepsiz kokona 
Pozitif,allah askina in 
Pozitif,allah razý olsun 
Negatif,allah belanýzý versin sizin gibilerin evde baktýðýmýz sokakta baktýðýmýz canlarýn gözüne çöp deðmesin bakarken sokakta bir gün eksik can gördüðümüz telaþlanýp aramaya baþlarken kendi baktýðýnýz cana 
Pozitif,ben buluþmuþ kadar mutlu oldum 
Pozitif,kesime destek oldunuz sayýn bakaným allah razý olsun bizlerde konut kredilerimize yapýlandýrma bekliyoruz 
Pozitif,keyifli huzurlu hoþ sohbetli akþamlar diliyorum abicim selamlar saygýlar allah emanetsiniz 
Pozitif,allah olsam iq göre sevap günahlarý yeniden deðerlendirirdim 
Pozitif,allah gönlüne göre versin duasýndaki adaleti seviyorum lah herkesin kalbine göre versin cidden 
Pozitif,doðu allah ýndýr batý dönerseniz lah ýn yüzü zatý oradadýr þüphesiz allah ýn rahmeti nimeti geniþtir 
Pozitif,ben çýkýp mikail kafasýna göre iþ yapar demedim sadwce doða olaylarýný düzenliyor dedim depremi dünyaya yaþatan emri allah vermiþ olsa bile mikail dir ayrýca ben konuya global bilimsel açýdan bakarým zamana kadar hoþgörü dini dediðiniz dini korumak 
Negatif,allah yapanýn serbest kalmasýna olanlarýn belasýný versin 
Pozitif,allah þifalar versin 
Pozitif,kadýn erkek fark etmez umarým allah herkesi gösterdiði sevgiye layýk insanlarla karþýlaþtýrýr 
Pozitif,allah yarb 
Pozitif,kagan allah razý olsun sevindim 
Negatif,hakk ri üs bölgemize yapýlan terör saldýrýsýnda þehit düþen yiðitlerimize yüce lah tan rahmet acýlý ailelerine sevenlerine sabýr diliyorum 
Pozitif,allah razý olsun saolasin teþkür ederim abim 
Pozitif,allah rahmet eylesin kadýn cinayetleri artýk son bulsun 
Pozitif,allah saðlýk shat versin inþalah 
Pozitif,gencecik yaþýnda hayattan koparýlan pýnar gültekin lah tan rahmet ailesine baþsaðlýðý diliyorum pýnar kardeþimizi 
Pozitif,aziz allah 
Pozitif,bakýn arkadaþlar okan abi ye laf yok gerçekten seviyorum allah biliyor fakat spor beþiktaþ lý olanlar izlememelidir bjk ye ihanet edemezsiniz ha okan abi kendine kanal açsa trt spor çýksa ekran baþýndan ayrýlmam 
Pozitif,baþýn saðolsun allah ailesine sana sabýrlar versin 
Pozitif,samimi bir þekilde allah tan korkuyor mletini seviyor onlarýn menfaatini düþünüyor din hriyeti tanýyorsa bir diktatör 
Pozitif,veyahut bir gerçektir iman edenler yahudiler sabiiler hýristiyanlardan lah ahiret gününe inanýp hayra barýþa yönelik iþ yapanlar korku yoktur tasalanmayacaklardýr onlar maide 
Pozitif,allah rahmet eylesin basiniz sagolsn 
Negatif,böyle adeletinde böyle hükümetinde allah belasýný versin kadýna hayvana çocuða yapýlan þdete körsünüz orospu çocuklarý 
Negatif,bara pavyona giden içki içen erkeklere allah evlenmeyi nasip etmesin 
Pozitif,sevdiklerimizi üzerimizde haklarý olanlarý cehennemden et rbi bedevinin istediðini istiyoruz kabul 
Pozitif,yine talyan var baþlarýnda allah rahmet eylesin operasyonun 
Pozitif,hadi beyler allah yardýmcýmýz olsun bum 
Pozitif,allah yar yardýmcýnýz olsun size hastalara acil þifalar diliyoruz 
Pozitif,bütün sahneler karanlýktýr zaman bildiðiniz kadar renkli deðildir nihilizmin görsel renkleri yerinizi ele geçirir 
Pozitif,dizginsiz dil bela getirir zincire vurulmuþ prometheus aiskhylos kültür yay 
Pozitif,abd buyuklugunde deprem olmus paydada insan varsa dil din irk hic onemli degil gecmis olsun bela musibet 
Pozitif,zaman sosyalleþelim desek baþýmýza bi bela geliyor 
Pozitif,tarz cehalet seviyesinin çýtasýnýn belli olmadýðý insanlarý fenomen baþýmýza bela edip sonra bunlara söven kesi 
Pozitif,baþýmýza gelen bela cezasýzlýk ýsrarýndan vahþiler sardý ülkeyi 
Pozitif,kardesim dmden bana ulasip nasil bi yol izlemem gerektigini söylermisin ayni bela bendede var bi sonuca ulasabildinmi sikayetinde 
Pozitif,kýza böyle þeyler olduðu bende üzüldüm bunu ona yapana bela okudum saldirganlikla varacaðýný düþündün anlamadým 
Pozitif,bi kurþun döktürsek bela baþým 
Negatif,sülalem sülalene bela olur 
Pozitif,bela kskdjjfjdksk 
Pozitif,kisi bela 
Pozitif,alýþ veriþ konusunda sadece kimseye bela olmam kendime bile olmam þeyi internetten alýrým diðer türlü bayaðý pis bir insanmýþým ben sjsksj 
Pozitif,zehrayla barýþý berkan tanýþtirsýn artýk zor bela yaparýz aralarýný tanýþsýnlar yeter 
Negatif,alt tarafý kadýnlar tacize uðruyor darp ediliyor öldürülüyor yakýlýp üstüne beton dökülüyor bunda abartýlacak var seni milletin baþýna bela dikenin varya 
Pozitif,bir insan öylesine girmiyor hayatýmýza kimileri ceza kimileri bela kimil 
Pozitif,cumhurbaþkaný açýklama yaptý somut adýmlar gelir mi sizce umarým artýk cinayetler son bulur gerekli adýmlar atýlýr bela okuyacak öfkemi kusacak halim kalmadý artýk 
Pozitif,üzülmek bela okumak isyan etmek tepkini paylaþmak yetmiyor iþte bunu bir devlet mi anlamýyor yoksa anlamamazlýktan geliyor 
Pozitif,yok yok ben bela olayým eðlenceli 
Negatif,sapýk bela cevap vermeye devam edersek muhakkak bundan zevk alýp yine böyle iftira atarak devam edecek aylarca bunun durum vahim sefiln sefili insan gurubunda sadece uzak durmak cevap fayda etmez ona kalbi kör duymaz görmez nuhun oðlu 
Pozitif,bela filan veren yok var hani 
Pozitif,katiller cinayet esnasýnda cezayi pek düþünmezmiþ planlý cinayet iþleyenler yakalamayacaðýný düþünürmüþ cinayetleri ortadan kaldýrmak istiyorsak kiþilerin çizgiye gelmemeleri temelden bir þeyleri deðiþtirmeliyiz nsanlarýn baþa bela zihniyet problemi var 
Pozitif,bunlara bela okumakta fayda etmiyor insan bunlar 
Pozitif,pandemi döneminde bile baþýndan beri olmasý gereken uzaktan eðitimi güç bela uygulayabilen süreçte bile ben benim 
Pozitif,onedio testi çözüyorsundur karþýna bela çýkar lale onuk 
Pozitif,ugurbulut ego falanda yok ortada kusura bakma ülkenin baþýna feto bela olduysa oflularda trabzonsporun basina bela eleþtiride bulunuyorsunda gelecek yerine kimi destekliyorsun mesela söyle tek baþýna aday oldu kimsede karþýsýna çýkmadý boþ konuþma iyi yönetim bbu 
Pozitif,üstümden bela eksik olmuyo sonumuz hayýr olsun 
Pozitif,kadar süper bir saðlýk sistemi var ay zorunlu olarak para ödediðün saðlýk sisteminden gün sonraya güç bela randevu koparýyorsun zorunlu deðiþiklik deyip randevun iptal ediliyor gerçekten hastabe kapýlarýnda sýra beklemþyoruz mükemmel 
Pozitif,akp li belediyeli þehirlerde olunca kader allah tan mti han akp li belediyeler haricinde tr dünyada olunca lah bela veriyor iyi çalýþmýyorlar tedbir almýyorlar oysa afetlerde can kaybý yýkým akp li belediyeli þehitlerde oluyor yolsuzluklardan 
Pozitif,ezan okunurken müziðin sesini mi kýsmadým allah seni baþýma bela olarak gönderdi 
Negatif,anlaman gerek bahane onu saran muhabbet belaltý hasta zevk alýyor ayný sistem önce aþaðýlýyor iftira sonra övüyor ruh hastasý insana uzak durmak cevap vermeyip lah býrak iyisi konuda þüphen olmasýn bela buna cevap fayda etmez haya yok 
Negatif,birak düssünler kardesim dünyanin basina bela olan bir ülke beter olsunlar 
Negatif,çýkýp þimdi hoþgörüsüzlükle yapmacýk tavýrlarýnýzla amerika daki vatandaþlara bela okuyorsunuz baya hoþgörülüsünüz sizi þekilde manipüle ederek islamý pazarlayan din düþmanlarý tez zamanda yok olur umarým 
Negatif,yarrak bela tiler bunu baþýmýza 
Negatif,bela vaziyattin icina soxam 
Pozitif,la havle bela kuvvete la billa aliyl zim 
Pozitif,rabb im kaza bela vermesin nallah bizede nasip olur nallah 
Negatif,pisliðin asýl hedefi göz ardý edilmekte gün kadýna karþý þiddetle mücadele ediyor sözüne kanan aptal feminist kadýnla 
Pozitif,homofobik gay demiþtim bir iki videosunu göstermiþtim yayýnlarda baþýmýza bela ediyorsunuz bunlarý dedim bunu ben 
Pozitif,bb deki babacan prensinin facialarý dilek güngör anlayacaðýnýz çaðlar ýn ziat in baþýna bela ettiði krediler zararda 
Pozitif,hayatta ödenmesi zor bedelin faizi sahipleri çocuklarý küçken iyi eðitmeden kötü yanlarýný törpülemeden hayata hazýrlamadan þýmartan anne babalardýr ölene kadar baþýna bela olur sen geriye dönüp baktýðýnda onca yýl ödemediðine piþman olursun 
Pozitif,bela virüsten dolayý annemi görebiliyorum nede doktorlara durumunu sorabiliyorum kafayý yicem 
Pozitif,kendine bela okumaya baþladýðýna göre senin cidden acil bir tedaviye ihtiyacýn var survivor sizin psikolojinizi bozmuþ bela okuma bir dönüp dolaþýp okuyaný bulur 
Pozitif,tabi suriyeliler temelli bela olarak basimiza kalsin onlarin bosatigi topraklara pkklilar konup burnumuzun dibinde terör devleti belasi temli olsun müthis vizyon 
Pozitif,allah tan dileðim bela olan kiþinin þrinden allahýn bizi uzak tutmasý beladan kiþinin þrinden allaha sýðýnalým baþka yol yok kör buna anlatmak duvara konuþmak cevap vermek anlamsýz lah diyelim hasta kiþinin þerrinden beladan bizi uzak tut 
Negatif,pü allah belaný versin geber inþlah bela okumaktan ciðerim çürüdü insan olamazsýnýz olamazsýnýz olamazsiniz serbest birakanda onu yapan kadar katil suçlu adaletiniz batsýn be 
Pozitif,hocam ameliyathane resimleri yarýn öbürgün baþýnýza iþ açar allah göstermesin hastanýzýn vadesi dolar resimi olur baþýnýza bela olur dostane 
Negatif,ülke komple kafayý yemiþ cahillik baþa bela 
Pozitif,barismrtyagci bela geliyor taraflara 
Pozitif,ay kaoslu bir gün heryerden bela akýyo 
Pozitif,aralar gülüyorum hangi bela gelme sinyali veriyo 
Pozitif,maske bunlarýn ekmeðine yað sürmemek paylaþým sürekli ismini zikrederek bir bela olduklarýný anlatmaya çalýþalým selam dua 
Negatif,edepli insanlara iftira atarak yaþayamazsýn kadar zavallý aþaðý bir mahluksun lah seni islah etsin hendiþ bela gibisin farkýndamýsýn bize musallat olan izlemek iyi kötü arasýndaki farký böylece anlamak þeytan melek bazen gerek kýymet bilelim iyilerin 
Pozitif,gayri meþru hayatlar neticesinde hak teala nin kullarýnýn azmasi tahkuk eden bel musibet bizler kul olarak hz allah in hoþ görmediði iþleri yaptýðýmýz mdetçe tür bel musibetler eksik olmayacaktýr rabbim insanlýða hidayet nasip etsin 
Pozitif,haberi gördüðümden beri yazýp yazýp siliyorum birçok þeyi bela okumak küfür etmek lanetlemek hepsini yaptýk hala bir 
Pozitif,suç senin deðil serdar kürt halkýndan kürtçeden korkanlarýn ayýbý diyesim geliyor tam anda içim yok diyor kürt dü 
Negatif,keske sen bizi tanisan bela oldun resmen bana yemin ediyorum cekil abi 
Pozitif,hayýrlý olsun allah kaza bela vermesin 
Pozitif,filistin bir zaman müslüman ülkesinden yana olmadý allah onlara srail li baþlarýna bela olarak verdi 
Pozitif,allah kaza bela vermesin 
Pozitif,merhaba tarafýnýzdan talep edilen bilgileri müþteri temsilcilerine çözüm merkezine paylaþarak destek alabilirsiniz saðlýklý günler dileriz 
Negatif,baþýnýza bela gelirse buna benzer soyu sopu bozuklar yüzünden gelecek 
Pozitif,temmuzda kazandýðýmýz savaþý kaybediyoruz sonra hata yaptýk sormayýn bunu baþýmýza bela eden hala büyük koruyucusu fatma þahin feminist tipleri artýk görmek istemiyoruz sözleþmecinayetleriartýrýyor 
Negatif,bela olurum baþýna aslaným belaa 
Negatif,seni tanýmýyor heralde baþýna bela arýyor git þunun belasýný ver kýz sjsjjsjsos 
Pozitif,onu yetiþtiren bir kadýn demek þiddtir erkekler böyledir demek þiddeti meþru etmektir elbte kýz 
Pozitif,basima bela acmadikca laftan sozden anlayan degilim 
